code,name,state_code
0,HIMACHAL PRADESH,2
23,Chamba,2
24,Kangra,2
25,Lahul & Spiti,2
26,Kullu,2
27,Mandi,2
28,Hamirpur,2
29,Una,2
30,Bilaspur,2
31,Solan,2
32,Sirmaur,2
33,Shimla,2
34,Kinnaur,2
0,PUNJAB,3
35,Gurdaspur,3
36,Kapurthala ,3
37,Jalandhar,3
38,Hoshiarpur,3
39,Shahid Bhagat Singh Nagar ,3
40,Fatehgarh Sahib,3
41,Ludhiana,3
42,Moga,3
43,Firozpur,3
44,Muktsar,3
45,Faridkot,3
46,Bathinda,3
47,Mansa,3
48,Patiala,3
49,Amritsar ,3
50,Tarn Taran,3
51,Rupnagar,3
52,Sahibzada Ajit Singh Nagar,3
53,Sangrur,3
54,Barnala,3
0,HARYANA,6
69,Panchkula,6
70,Ambala,6
71,Yamunanagar,6
72,Kurukshetra,6
73,Kaithal,6
74,Karnal,6
75,Panipat,6
76,Sonipat,6
77,Jind,6
78,Fatehabad,6
79,Sirsa,6
80,Hisar,6
81,Bhiwani,6
82,Rohtak,6
83,Jhajjar,6
84,Mahendragarh,6
85,Rewari,6
86,Gurgaon,6
87,Mewat ,6
88,Faridabad,6
89,Palwal ,6
0,RAJASTHAN,8
99,Ganganagar ,8
100,Hanumangarh,8
101,Bikaner,8
102,Churu,8
103,Jhunjhunun,8
104,Alwar,8
105,Bharatpur,8
106,Dhaulpur,8
107,Karauli,8
108,Sawai Madhopur,8
109,Dausa,8
110,Jaipur,8
111,Sikar,8
112,Nagaur,8
113,Jodhpur,8
114,Jaisalmer,8
115,Barmer,8
116,Jalor,8
117,Sirohi,8
118,Pali,8
119,Ajmer,8
120,Tonk,8
121,Bundi,8
122,Bhilwara,8
123,Rajsamand,8
124,Dungarpur,8
125,Banswara,8
126,Chittaurgarh,8
127,Kota,8
128,Baran,8
129,Jhalawar,8
130,Udaipur,8
131,Pratapgarh,8
0,BIHAR,10
203,Pashchim Champaran,10
204,Purba Champaran,10
205,Sheohar,10
206,Sitamarhi,10
207,Madhubani,10
208,Supaul,10
209,Araria,10
210,Kishanganj,10
211,Purnia,10
212,Katihar,10
213,Madhepura,10
214,Saharsa,10
215,Darbhanga,10
216,Muzaffarpur,10
217,Gopalganj,10
218,Siwan,10
219,Saran,10
220,Vaishali,10
221,Samastipur,10
222,Begusarai,10
223,Khagaria,10
224,Bhagalpur,10
225,Banka,10
226,Munger,10
227,Lakhisarai,10
228,Sheikhpura,10
229,Nalanda,10
230,Patna,10
